id	size	gc_content	md5	organism	primary_cluster_id	primary_dist	secondary_cluster_id	secondary_dist	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)
CP000515	239623	54.05157267874954	e52c37cdae410dafc9eeb1648863e541	unknown	AG707	0.06	AQ762	0.025	rep_cluster_452	001796__CP000515_00073		
DQ925488	6670	45.12743628185907	b0944d9e5f4e0d78c44c7b36f0fec077	unknown	AD499	0.06	AN079	0.025	rep_cluster_729	002201__DQ925488_00013		
MG299150	62958	42.73801582007052	07fcbe58071897c97036c73822a3bef1	unknown	AA372	0.06	AI350	0.025	IncI2	000147__CP006264_00003	MOBP	NC_022520_00030
CP024652	107274	51.91379085332886	38552ee291193d34602df8c46d28f6dc	unknown	AA338	0.06	AI281	0.025	IncFII,IncFIIA	000121__CP024805,000136__AP014877_00014	MOBF	NC_017627_00068
CP044627	27425	27.168641750227895	593aeca3452e7caa3314e2a78764eb01	unknown	AC828	0.06	AM175	0.025				
MN232182	61037	42.362829103658434	01cdebca838127ffc15edbfb8dea6ab9	unknown	AA372	0.06	AI350	0.025	IncI2	000147__CP006264_00003	MOBP	NC_022520_00030
CP014613	24244	35.45207061541	7b5a4ff4164b6e440e70312353002683	unknown	AB145	0.06	AJ752	0.025			MOBQ	NZ_AVAB01000112_00007
LT985315	47447	43.9332307627458	faeb91e7f6ffb6dcc62f0500be5f73bc	unknown	AB230	0.06	AJ911	0.025	IncX1	000215__KC853434_00019	MOBP	NC_019096_00001
CP016751	11008	31.94949127906977	e080b4cb9e11784396c0e8e1f739ab91	unknown	AA202	0.06	AH908	0.025	rep_cluster_554,rep_cluster_414	001938__AF001314_00001,001745__CP002369_00001	MOB_Unknown	JQ821353
JQ245700	4390	37.1753986332574	af44f41fac248c680bcca2f8b62160e0	unknown	AD835	0.06	AN497	0.025	rep_cluster_1191	000479__JQ245700_00001	MOBP	NC_019276_00004
CP033774	184336	52.70972571825362	9850d750675f96390aa63452988aeb3a	unknown	AA275	0.06	AI074	0.025	IncFII,IncFII,IncFIB	000113__CP022035,000132__HG969996,000107__CP014778_00094	MOBF	NC_021231_00058
CP031945	35774	40.8397159948566	d182a8b5dac478aa56b9618c1226714c	unknown	AA642	0.06	AI909	0.025				
AP019409	153750	35.297560975609755	4cb2b902f7cbe1f48ee0398d90da386f	unknown	AC731	0.06	AM043	0.025	rep_cluster_893	002374__CP004064_00076		
CP021186	35564	61.50320548869644	cfe5a6b30cec64afba103f2a7f5b9486	unknown	AB887	0.06	AK858	0.025	rep_cluster_824	002305__CP021186	MOBQ	NC_016000_00002
LR025084	22667	37.94944191997177	75b5849c21be4cdbb1b41190c3146667	unknown	AG755	0.06	AQ811	0.025				
MH938807	12783	55.41735116952202	ab03a93db5afee344ef406f236ad6553	unknown	AC119	0.06	AL170	0.025	IncQ1	000192__AM183225_00009	MOBQ	NC_001740_00005
KU934011	53292	49.587180064550026	dae8e46f69900b24ba5dc958dae5d491	unknown	AA038	0.06	AH614	0.025	IncX3	000221__NC_025130_00012	MOBP	NC_020552_00059
NC_009928	273121	45.1902270422267	07112cd238e217bf7a589d2e9e85faaa	unknown	AE157	0.06	AN882	0.025			MOBF	NC_009928_00303
MG197488	104623	51.07098821482848	ef81dc69184e279e31d32936d90fd455	unknown	AA327	0.06	AI227	0.025	IncFII,IncFIIA,IncN	000121__CP024805,000136__AP014877_00014,000155__CP018649	MOBF	NC_017627_00068
AP010959	75546	49.11179943345776	e6233f0c3440d9abb3cccae5275304cf	unknown	AA295	0.06	AI137	0.025	IncFIB	000096__NC_019117_00097	MOBP,MOBF	NC_011416_00039,NC_017627_00068
CP017867	25284	29.235880398671096	0bfda5abe2b0f7302be23cc67802aca9	unknown	AB468	0.06	AK261	0.025			MOBP	NC_022656_00032
AP017460	5518	33.327292497281626	de95fce411c99a8534f3b322ab698ed7	unknown	AF283	0.06	AP216	0.025				
NC_019743	20803	46.454838244483966	d5dd32dc9109ccadf001a211729987f9	unknown	AG623	0.06	AQ671	0.025				
CP039590	1978	57.128412537917086	0876debd65db7c05e77c4fba53549687	unknown	AB239	0.06	AJ939	0.025	ColRNAI_rep_cluster_1993	000024__JX133088		
JX101639	1958	37.027579162410625	5641c1bb9d2d7c13f579e0f97e64dede	unknown	AG048	0.06	AQ063	0.025				
CP030275	106892	63.81394304531677	e67f1f95b03a6b289c4a35dd024c2689	unknown	AC649	0.06	AL923	0.025	rep_cluster_369	001684__NC_007489_00081	MOBV	NZ_AKBU01000005_00020
CP041268	1979	38.70641738251642	3a3f8d89fbef4ab7befc61c8c3a33310	unknown	AE672	0.06	AO500	0.025	rep_cluster_935	002420__CP003354_00001		
CP024844	13781	33.35026485741238	8579542a27115889b13b2aefb116f0d9	unknown	AD058	0.06	AM485	0.025	rep_cluster_1118,Inc18	000382__CP017110,000086__KY579372_00014		
EU370913	51602	46.250145343203755	3fb114454aec8b1cf0606bebe2621bf9	unknown	AB229	0.06	AJ909	0.025	IncX1	000217__NC_019106_00041	MOBP	NC_019096_00001
NC_004838	100990	50.1623923160709	2f93fe2c061ff3226e2503cb2bcefc4a	unknown	AA751	0.06	AJ083	0.025	IncFIB	000104__CP010386_00052		
AM039948	1852	56.587473002159825	037c52391fdfeeca68572dd10403ad59	unknown	AE447	0.06	AO228	0.025				
CP011066	3373	55.232730506967094	3b3946a6e08dcbb65aa6be306343a9f1	unknown	AA163	0.06	AH811	0.025			MOBP	NC_014003_00004
CP014986	45033	43.64132969155952	6a3508be7cacfba90f540b6b5a83b152	unknown	AC554	0.06	AL791	0.025	rep_cluster_197	001411__NZ_AVAB01000114_00033	MOBQ,MOBP	NC_011352_00007,NC_015979_00031
MH105050	216895	51.66831877175592	d26deb2d6f09aa8eccd0b4335e2e58ff	unknown	AA860	0.06	AJ275	0.025	IncA/C2,IncX3	000092__CP025470,000221__NC_025130_00012	MOBH,MOBH,MOBP	NC_012885_00072,NC_012690_00071,NC_020552_00059
KX528687	138027	40.529751425445745	05e68bedcd3a683a369d17540fc2f32a	unknown	AC973	0.06	AM364	0.025	rep_cluster_1072	000321__KX528687_00080	MOBP	NZ_AEOY01000096_00007
CP024580	4709	43.19388405181567	9b1d0f41cedd3b7b55e21f638bc20e6c	unknown	AA129	0.06	AH759	0.025	ColRNAI_rep_cluster_1987,rep_cluster_2050	000019__CP000651_00005,001473__CP024541		
NC_019397	213808	56.144765396991694	22c9c5fef22d862727caf8d14c3a5311	unknown	AF197	0.06	AP118	0.025	rep_cluster_1287	000605__CP003927_00025	MOBF	NC_019397_00110
KF998104	13999	58.23987427673405	6892227b614569ded3cdb0c21368a8e4	unknown	AD067	0.06	AM494	0.025	rep_cluster_203	001461__KF998104_00001		
CP021360	71051	61.25459177210736	f8338b5078f4ac38c0d8af352f79b8f3	unknown	AC615	0.06	AL879	0.025				
CP016265	64086	37.78828449271292	00fc6f7f338382f56947daea3fb0de61	unknown	AB148	0.06	AJ757	0.025	rep_cluster_1317	000635__AY312585		
CP017133	20484	25.605350517477056	9e96b1a8100fc4bfe7b7fa3aeabcb1a6	unknown	AB093	0.06	AJ663	0.025				
MN101856	190390	46.30757917957876	14f4a80d0a6f85759f76559d39617d55	unknown	AA998	0.06	AJ515	0.025	IncFIA	000093__KX023259_00112	MOBH	NC_013365_00169
AP018379	4153	51.504936190705514	cfecaf5b264e719c6b9c90b4bcca0822	unknown	AC796	0.06	AM134	0.025	rep_cluster_1433	000773__NC_022243_00001	MOBP	NC_022243_00008
CP015948	71453	39.09422977341749	519da1c8de11a7ef8b1e946eaffc615b	unknown	AA720	0.06	AJ017	0.025			MOBF	NZ_CM001375_00024
CP006808	9610	45.27575442247659	03602db49587eb9ac412db252ab51253	unknown	AA902	0.06	AJ345	0.025	ColRNAI_rep_cluster_1857	000008__AJ627566		
CP012922	37697	41.1783431042258	51c42d4a0360e8124428700f1414516a	unknown	AB233	0.06	AJ927	0.025	IncX1	000215__KC853434_00019	MOBP	NC_019096_00001
CP019926	52971	27.286628532593305	c15feff390e85c9a8a26b6bdaa02b7cd	unknown	AF318	0.06	AP255	0.025	rep_cluster_1621	001010__NC_018979_00032		
KC237287	3951	50.08858516831182	2b74705080f58c938cf3e66442fd6cfd	unknown	AA269	0.06	AI062	0.025	ColRNAI_rep_cluster_1987	000019__CP000651_00005		
CP043054	92276	37.784472668949675	9a7d05b5805dfda9a19f34cb5c344e3d	unknown	AB413	0.06	AK183	0.025	rep_cluster_639	002092__CU459140_00002	MOBP	NZ_AEOY01000096_00007
KY865319	37663	41.75981732735045	007c123127c3ebf6af207ff16b76649f	unknown	AA619	0.06	AI864	0.025	IncX4	000222__CP010880_00038	MOBP	NC_013718_00057
KT997783	136243	51.947622997144805	8caec8c434d620e06753c26cafb8b9c3	unknown	AA860	0.06	AJ266	0.025	IncA/C2	000092__CP025470	MOBH,MOBH	NC_012885_00072,NC_012690_00071
HG796411	2399	52.60525218841184	a93f7baacd384b03431c92d29163816a	unknown	AG756	0.06	AQ812	0.025				
CP013369	258679	62.131831343093175	b4d86db5abb39d92552b77453512a1a5	unknown	AD974	0.06	AN671	0.025			MOBP	NC_010553_00087
HG796334	3856	35.114107883817425	61d03547d1793c74cd4c321fc8493584	unknown	AG407	0.06	AQ440	0.025	rep_cluster_808	002292__HG796334_00003		
CP032445	89737	50.21005828142238	2123729d9d9d01b057fb3f703b38bd54	unknown	AA474	0.06	AI602	0.025	IncI1	000145__HE610900_00001	MOBP	NC_019097
AJ249249	4992	46.23397435897436	9f74c193b4eb3986168fc0a27f89b881	unknown	AC408	0.06	AL588	0.025			MOBF,MOBP	NC_019255_00001,NC_019214_00002
CP029215	203941	46.92876861445222	633b601c48edef55c01fcf0df7598d1c	unknown	AA738	0.06	AJ051	0.025	IncH,rep_cluster_1088	000139__NC_012555_00001,000340__KU353730		
CP012511	181035	38.915679288535365	fd809fbebc1131dae160dfa68494d9b8	unknown	AC956	0.06	AM340	0.025	rep_cluster_737	002215__CP013976_00087		
CP019878	37912	57.14813251740873	25a7ad5d57706ede1ea961aa9c6c81ee	unknown	AC868	0.06	AM224	0.025	rep_cluster_759	002236__JQ418524_00004	MOBQ	NC_016028_00030
CP002494	55393	34.69571967577131	275880f4ef3c117ba24dcbceb2c81a64	unknown	AE312	0.06	AO071	0.025	rep_cluster_980	002463__CP002494_00007	MOBP	NC_014726_00038
CP041734	276520	46.27477216837842	ef6cc8dc02b9d7e23c460da447990678	unknown	AA739	0.06	AJ058	0.025	IncH,rep_cluster_1088	000139__NC_012555_00001,000338__NC_021819	MOBH	NC_012555_00231
HE663166	59374	51.92845353184896	5459f6dda0473e8c3bbefa891fd4064a	unknown	AB461	0.06	AK250	0.025	IncFII,IncFIB	000114__CP015527,000101__NZ_CP012345_00042		
NC_013344	44116	29.182156133828997	9d617610adcec495a0dcaf2f47996307	unknown	AA083	0.06	AH690	0.025	rep_cluster_1142,rep_cluster_1281	000421__NC_013320_00022,000597__NC_005054_00023	MOBQ	NC_013653_00017
CP009033	58317	61.8533189293002	6a00dea4707d577e9d342916a7b85a73	unknown	AA598	0.06	AI831	0.025	rep_cluster_461	001811__CP013007_00019	MOBP,MOBP	NC_007507_00032,NC_020817_00061
AP019764	46350	40.699029126213595	1d3d5566cb253ee6c311264bf2646636	unknown	AB233	0.06	AJ925	0.025	IncX1	000215__KC853434_00019	MOBP,MOBP	NC_011416_00039,NC_019096_00001
MF157411	4577	33.88682543150535	b298a81e344a90dc9f0fa6b0b74991d1	unknown	AB020	0.06	AJ549	0.025	Inc11	000034__NC_002192_00002		
CP001385	6850	44.02919708029197	80d48eca12154b55f42f3b9184ef1c3e	unknown	AD168	0.06	AM624	0.025	ColRNAI_rep_cluster_1987	000019__CP000651_00005		
CP034820	188527	46.55301362669538	5de60b54fe08f0a89375c8c331448832	unknown	AA738	0.06	AJ051	0.025	rep_cluster_1088,IncH	000340__KU353730,000139__NC_012555_00001		
AP019745	9388	36.333617383894335	b618b912b3c3dbe4b3b0bba000d7024d	unknown	AD746	0.06	AN395	0.025	rep_cluster_1282	000599__KX426232_00098		
CP010208	56029	47.216619964661156	1761018311144bbff2fb9045a82a606c	unknown	AG562	0.06	AQ609	0.025				
CP009169	4671	45.75037465210875	ee0e7210c2e2a15d2b0f1013d4ad4b52	unknown	AB442	0.06	AK224	0.025	ColRNAI_rep_cluster_1857	000008__AJ627566		
NC_010478	31972	44.10108845239585	01257b2eceddfd6252669ac5b7c462cb	unknown	AG235	0.06	AQ257	0.025				
HG796350	3324	35.25872442839952	cb34577a82e1dc7d918b67cb97f7aa55	unknown	AG757	0.06	AQ813	0.025				
MH328007	24228	50.557206537890046	e6b97ef81c0c260cb85175aa4367933a	unknown	AA363	0.06	AI333	0.025	IncU	000210__KF623109_00045		
CP010428	3045	28.669950738916256	c5c52ee6b416bc23aab472d798053139	unknown	AE687	0.06	AO517	0.025	Inc13	000065__NC_013091_00003		
CP013783	50681	38.941615200962886	716e0e3be4f0b3e73ea4607d9fffd379	unknown	AA731	0.06	AJ031	0.025	rep_cluster_1053	000297__CP012510_00043		
CP038263	128013	41.45047768586003	4a613f2963662bc29291abdcb244484d	unknown	AB408	0.06	AK178	0.025	rep_cluster_639	002092__CU459140_00002	MOBP,MOBP	NZ_AEOY01000096_00007,NZ_ALIG01000010_00048
CP021103	80206	47.355559434456275	b7af72e2aa7c49244d74d158ea686b66	unknown	AA813	0.06	AJ180	0.025	IncFII,IncFIIA,IncX1	000121__CP024805,000136__AP014877_00014,000215__KC853434_00019		
CP034134	6927	50.71459506279775	97b2f56b249c9bf6116dc9052aecb538	unknown	AC431	0.06	AL616	0.025	rep_cluster_2050	001473__CP024541		
CP027046	55018	51.686720709585956	0c45804a81cb6700c7fff0b1f3fdb2eb	unknown	AB531	0.06	AK350	0.025	rep_cluster_1	000232__CP012429		
CP029360	54887	68.24931222329514	0d8c25015f77fde27c7f13c24a869031	unknown	AF162	0.06	AP079	0.025				
CP031161	21536	50.97046805349183	9bc11e34d23d156fe5c530604d4a8f4a	unknown	AG303	0.06	AQ330	0.025				
KX928752	216976	50.3124769559767	46964f466a3bc71eff2eae4a920b282f	unknown	AA171	0.06	AH827	0.025	IncY,IncFIIA,IncFII,IncFIA,IncFIB	000230__CP009168_00001,000136__AP014877_00014,000121__CP024805,000094__NZ_CP015070_00117,000096__NC_019117_00097	MOBF	NC_017627_00068
NC_023325	6747	51.044908848377055	6e8a7a7a9d1883aeee3512a590f2661a	unknown	AA577	0.06	AI793	0.025	ColRNAI_rep_cluster_1291	000001__EU090225_00001	MOBQ	NZ_AWFJ01000122_00007
CP022575	43380	46.83033656062702	9da36ee7d99b157fafb18b27da0fc67c	unknown	AA038	0.06	AH614	0.025	IncX3	000221__NC_025130_00012	MOBP	NC_020552_00059
CP041234	43151	58.418113137586616	80b022f7a77e250e3b14a5ea10404c02	unknown	AD723	0.06	AN363	0.025	IncI1	000140__HQ896493_00019	MOBF	NC_015972_00024
CP020440	227674	68.41097358503826	598a44d98f5dd3ffb988d455a0f751e3	unknown	AF905	0.06	AP913	0.025	rep_cluster_746	002223__CP020440	MOBP	NC_023136_00137
CP016723	15393	30.819203534073928	f85c9cb319f0cb0a7a735c764735adbb	unknown	AC752	0.06	AM078	0.025	rep_cluster_799	002280__CP016723	MOBP	NC_019350_00002
KY014466	156677	52.3733540979212	c31a14d57e55c9ec658e811968d26a16	unknown	AA860	0.06	AJ266	0.025	IncA/C2	000092__CP025470	MOBH,MOBH	NC_012690_00071,NC_012885_00072
CP009699	181892	32.53798957623205	23d335b2fcefb7e81cb2b4216523bd42	unknown	AA800	0.06	AJ160	0.025	rep_cluster_125	000558__CP013279	MOBP	NC_012579_00171
JQ319766	2462	48.53777416734362	fe5b7bb396431f17884fd83447bcc40f	unknown	AB067	0.06	AJ627	0.025	ColRNAI_rep_cluster_1987	000019__CP000651_00005		
KM583824	3496	35.61212814645309	1d0e0339eaa7ac513bc95d264239dec1	unknown	AD458	0.06	AN021	0.025	rep_cluster_60	002040__KM583813_00001		
CP010702	68548	62.97047324502538	07483e7a5159f42de21ccce13718a441	unknown	AA430	0.06	AI496	0.025	rep_cluster_735	002212__CP002975_00001		
NC_019246	4087	24.19867873746024	a3df5d12af1d5ad2457adba44c17fc71	unknown	AB658	0.06	AK529	0.025	rep_cluster_674	002134__HQ332528		
CP015757	25039	27.201565557729943	350a6a788ce018aa6aaa3ff1eb086388	unknown	AD547	0.06	AN139	0.025	rep_cluster_779	002256__CP015757		
CP015809	53343	27.08321616706972	e9c20d2f91a531d60f3235630c47cf0c	unknown	AB579	0.06	AK420	0.025				
CP023177	41234	37.19018285880584	0fdfb571388b79f3553aeeeaae90a040	unknown	AA493	0.06	AI651	0.025	rep_cluster_707	002180__CP003141_00004	MOBQ	NC_011352_00007
NC_002192	2178	33.42516069788797	b295397296834b2801b536ae7ca8afb9	unknown	AB020	0.06	AJ547	0.025	Inc11	000034__NC_002192_00002		
CP002204	13777	31.871960513899978	d190b3acb991d2c58d34e5591efb2215	unknown	AF082	0.06	AO989	0.025				
NC_002108	2062	34.82056256062076	6abae2cb45efc595bd662fcebf4252d9	unknown	AF086	0.06	AO998	0.025	rep_cluster_1434	000775__NC_017213		
GQ900466	6794	30.070650574035913	a53bfd81245af138c7f83368ac89e715	unknown	AE849	0.06	AO714	0.025				
CP002178	77627	35.320184987182294	bc79b34fd0a2adb2d4a0fbe263d12443	unknown	AD535	0.06	AN124	0.025	rep_cluster_163,rep_cluster_757	001020__CP010087_00059,002235__CP010006		
MH522422	35526	41.9270393514609	387695e8faa288f6e91b233c6f1014a9	unknown	AA619	0.06	AI859	0.025	IncX4	000224__NC_022105_00002	MOBP	NC_013718_00057
CP033755	103852	52.09336363286215	cbcb01410a934439e4ceb067d1008ef7	unknown	AA443	0.06	AI520	0.025	rep_cluster_1418,IncFII,IncFII	000759__NC_013950_00034,000132__HG969996,000114__CP015527	MOBF	NC_021231_00058
CP033234	5277	66.59086602236118	4c7de24211bf554fbcbcc3aa55994bb2	unknown	AF316	0.06	AP252	0.025			MOBP,MOBP	NC_011960_00023,NC_010517_00039
MN241904	62060	51.147276828875285	1858e2a21ff1a3eabe0e7c156fda0b2a	unknown	AA552	0.06	AI753	0.025	IncN	000155__CP018649	MOBF	NC_015599_00019
CP001544	3125	28.736	0e496f1c528840620bb571e7e1c14f11	unknown	AB721	0.06	AK613	0.025	rep_cluster_1017	000258__NC_013297_00004		
CP009071	30397	29.23643780636247	aadddce8790880ebf91cbcf217c091a3	unknown	AA261	0.06	AI048	0.025	rep_cluster_1662	001063__CP001303_00032		
LC201957	2488	65.83601286173634	4da0132f68990f459a6474fb8d3b8319	unknown	AG160	0.06	AQ181	0.025	rep_cluster_1405	000749__LC201957_00001		
CP036370	5596	51.14367405289492	511ae0a94ebc2e61ad430a2501717459	unknown	AA541	0.06	AI727	0.025	ColRNAI_rep_cluster_1857	000012__CP000801	MOBP	NC_009794_00003
CP008847	181894	32.535432724553864	ac005fea3c7b9cf78488ccb232a680c2	unknown	AA800	0.06	AJ160	0.025	rep_cluster_125	000558__CP013279	MOBP	NC_012579_00171
CP012492	34714	49.30575560292677	41f51ffd4717b1d279daa9faf8d7b509	unknown	AB263	0.06	AJ970	0.025	IncFII,IncFIIA,rep_cluster_488	000121__CP024805,000136__AP014877_00014,001852__AP017612_00001	MOBP	NC_011416_00039
CP019657	60868	39.76802260629559	ffac904b47ab6b82bba9284d7892517c	unknown	AD064	0.06	AM491	0.025				
NC_017189	6758	41.950281148268715	cb1f554c3fe53f754aeb797965c7353c	unknown	AC096	0.06	AL137	0.025	ColRNAI_rep_cluster_1991	000022__NC_015392	MOBV	NC_005311_00009
MH844629	182653	52.02652023235315	ffb5240aaecc409d88b54186565cbe9d	unknown	AA628	0.06	AI890	0.025	IncA/C2	000092__CP025470	MOBH,MOBH	NC_012885_00072,NC_012690_00071
CP044120	68566	53.18962751217805	423fb6c8597ed9aba4ef08408b9c413b	unknown	AA556	0.06	AI767	0.025	IncR,IncFIA	000204__CP008701_00115,000093__KX023259_00112		
AP014803	60897	67.35471369689805	48b7a05c66d16d055b6c1b34ab5ccf42	unknown	AF516	0.06	AP477	0.025	rep_cluster_252	001530__CP010865_00002		
CP025393	12948	32.46061167747915	da3875cf9d85ea1b4e10f9ed97ebb391	unknown	AB370	0.06	AK121	0.025				
MF547510	46161	46.654101947531466	d4d9c30b2dfdeba12dec6981f209f332	unknown	AA038	0.06	AH615	0.025	IncX3	000221__NC_025130_00012	MOBP	NC_020552_00059
NC_004562	2650	30.41509433962264	64f0fc20a69fc63496665e310c96317c	unknown	AB729	0.06	AK624	0.025	rep_cluster_1017	000253__NC_004562_00001		
CP017187	131604	52.06528676939911	b32f7c2a860049c3d40945f180e80fa0	unknown	AA417	0.06	AI474	0.025	IncFII	000135__NC_014107_00001	MOBF	NC_014107_00160
CP011596	113992	51.51852761597305	695378757496980386ab08d69b7cd49c	unknown	AA400	0.06	AI423	0.025	IncFIB,rep_cluster_1150	000107__CP014778_00094,000430__CP020850		
NC_013789	2968	38.24123989218329	0d64375b3d880c56b6549151f9316644	unknown	AD475	0.06	AN043	0.025	Inc11	000040__GU363552_00003		
CP033131	59191	42.280076362960585	923e0b3fbc01275ab1d0bf6692de2037	unknown	AC940	0.06	AM312	0.025			MOBP	NZ_AEOY01000096_00007
CP043206	64997	42.421957936520144	75c7a10c7e266f4a92088198f99ecfb5	unknown	AA372	0.06	AI349	0.025	IncI2	000147__CP006264_00003	MOBP	NC_022520_00030
CP014479	36862	36.34637295860235	3491282e5dfefc20f0aa42c7b0347525	unknown	AE691	0.06	AO529	0.025	rep_cluster_1364	000682__CU468232_00001	MOBQ	NC_006877_00013
HG969193	21776	34.74008082292432	b237bfb419f748b941b0ef4608563a41	unknown	AC436	0.06	AL628	0.025	rep_cluster_1829	001250__HG969193_00001		
CP044358	16096	35.636182902584494	2ca142d9d966de67ddbaa0bd7672a57b	unknown	AD744	0.06	AN390	0.025	rep_cluster_1172,rep_cluster_1154	000453__KU549174_00001,000434__KX426231_00005		
CP030423	27270	27.16905023835717	44eb71874bd277058560c829d2f2badd	unknown	AA848	0.06	AJ244	0.025	rep_cluster_1017,rep_cluster_1215,rep_cluster_1017	000262__NC_007169_00002,000509__NC_016643_00001,000258__NC_013297_00004		
LN832561	4158	68.44636844636845	08e99691b53e1f327b716713cfed4375	unknown	AG462	0.06	AQ499	0.025				
